Symbol,Signal,Price,EMA10,EMA20,EMA40,Status
IDXX,🔴 BEARISH (Below All EMAs),621.96,634.52,647.05,663.35,❌ Price < EMA10 < EMA20 < EMA40
CVNA,🔴 BEARISH (Below All EMAs),324.73,354.35,378.04,396.39,❌ Price < EMA10 < EMA20 < EMA40
BRO,🔴 BEARISH (Below All EMAs),69.04,69.69,71.3,74.02,❌ Price < EMA10 < EMA20 < EMA40
ADSK,🔴 BEARISH (Below All EMAs),217.39,230.19,240.05,255.22,❌ Price < EMA10 < EMA20 < EMA40
STE,🔴 BEARISH (Below All EMAs),246.47,248.93,251.3,253.5,❌ Price < EMA10 < EMA20 < EMA40
FIS,🔴 BEARISH (Below All EMAs),47.68,49.16,51.76,55.83,❌ Price < EMA10 < EMA20 < EMA40
EXE,🔴 BEARISH (Below All EMAs),104.39,104.66,105.5,106.77,❌ Price < EMA10 < EMA20 < EMA40
NDAQ,🔴 BEARISH (Below All EMAs),79.95,82.44,85.94,89.4,❌ Price < EMA10 < EMA20 < EMA40
AVB,🔴 BEARISH (Below All EMAs),176.44,176.81,176.83,177.42,❌ Price < EMA10 < EMA20 < EMA40
SYF,🔴 BEARISH (Below All EMAs),68.24,72.1,73.55,75.51,❌ Price < EMA10 < EMA20 < EMA40
DDOG,🔴 BEARISH (Below All EMAs),104.38,118.26,121.65,127.61,❌ Price < EMA10 < EMA20 < EMA40
ROK,🔴 BEARISH (Below All EMAs),391.29,398.76,404.04,404.55,❌ Price < EMA10 < EMA20 < EMA40
EXPE,🔴 BEARISH (Below All EMAs),185.94,211.8,229.4,245.71,❌ Price < EMA10 < EMA20 < EMA40
AMP,🔴 BEARISH (Below All EMAs),450.3,479.33,490.8,494.16,❌ Price < EMA10 < EMA20 < EMA40
ZS,🔴 BEARISH (Below All EMAs),144.35,167.59,179.21,198.0,❌ Price < EMA10 < EMA20 < EMA40
WTW,🔴 BEARISH (Below All EMAs),298.52,300.2,306.03,313.18,❌ Price < EMA10 < EMA20 < EMA40
VLTO,🔴 BEARISH (Below All EMAs),92.57,93.48,94.9,96.88,❌ Price < EMA10 < EMA20 < EMA40
INTU,🔴 BEARISH (Below All EMAs),350.39,395.68,436.95,497.87,❌ Price < EMA10 < EMA20 < EMA40
HPQ,🔴 BEARISH (Below All EMAs),18.15,18.76,19.25,20.28,❌ Price < EMA10 < EMA20 < EMA40
WAT,🔴 BEARISH (Below All EMAs),329.39,335.06,348.33,361.71,❌ Price < EMA10 < EMA20 < EMA40
MELI,🔴 BEARISH (Below All EMAs),1902.02,1995.09,2031.56,2059.79,❌ Price < EMA10 < EMA20 < EMA40
TMO,🔴 BEARISH (Below All EMAs),512.53,522.3,542.56,561.07,❌ Price < EMA10 < EMA20 < EMA40
DIS,🔴 BEARISH (Below All EMAs),103.34,105.86,107.18,108.56,❌ Price < EMA10 < EMA20 < EMA40
RVTY,🔴 BEARISH (Below All EMAs),96.8,99.37,101.57,102.5,❌ Price < EMA10 < EMA20 < EMA40
CRM,🔴 BEARISH (Below All EMAs),175.26,187.35,197.93,213.57,❌ Price < EMA10 < EMA20 < EMA40
WYNN,🔴 BEARISH (Below All EMAs),105.95,112.87,113.67,115.61,❌ Price < EMA10 < EMA20 < EMA40
SHOP,🔴 BEARISH (Below All EMAs),117.2,120.4,125.38,135.12,❌ Price < EMA10 < EMA20 < EMA40
ISRG,🔴 BEARISH (Below All EMAs),488.02,494.99,502.15,516.59,❌ Price < EMA10 < EMA20 < EMA40
BLK,🔴 BEARISH (Below All EMAs),1060.21,1078.88,1084.72,1088.38,❌ Price < EMA10 < EMA20 < EMA40
MRVL,🔴 BEARISH (Below All EMAs),76.91,78.95,79.67,81.22,❌ Price < EMA10 < EMA20 < EMA40
IT,🔴 BEARISH (Below All EMAs),147.5,159.28,174.03,194.96,❌ Price < EMA10 < EMA20 < EMA40
BAC,🔴 BEARISH (Below All EMAs),50.97,52.98,53.41,53.63,❌ Price < EMA10 < EMA20 < EMA40
FOXA,🔴 BEARISH (Below All EMAs),55.51,58.76,62.42,65.67,❌ Price < EMA10 < EMA20 < EMA40
DHR,🔴 BEARISH (Below All EMAs),208.61,212.45,217.11,221.39,❌ Price < EMA10 < EMA20 < EMA40
SCHW,🔴 BEARISH (Below All EMAs),91.66,95.51,97.73,98.67,❌ Price < EMA10 < EMA20 < EMA40
AIZ,🔴 BEARISH (Below All EMAs),219.78,223.79,227.57,229.78,❌ Price < EMA10 < EMA20 < EMA40
POOL,🔴 BEARISH (Below All EMAs),215.08,241.9,249.25,251.63,❌ Price < EMA10 < EMA20 < EMA40
AMD,🔴 BEARISH (Below All EMAs),196.77,205.79,213.03,217.81,❌ Price < EMA10 < EMA20 < EMA40
NWSA,🔴 BEARISH (Below All EMAs),23.05,23.46,24.1,24.89,❌ Price < EMA10 < EMA20 < EMA40
WFC,🔴 BEARISH (Below All EMAs),83.92,87.97,88.99,89.48,❌ Price < EMA10 < EMA20 < EMA40
FDS,🔴 BEARISH (Below All EMAs),193.4,202.58,219.21,241.36,❌ Price < EMA10 < EMA20 < EMA40
MS,🔴 BEARISH (Below All EMAs),166.9,173.93,176.26,176.96,❌ Price < EMA10 < EMA20 < EMA40
UNH,🔴 BEARISH (Below All EMAs),282.38,286.82,293.0,304.79,❌ Price < EMA10 < EMA20 < EMA40
IBM,🔴 BEARISH (Below All EMAs),245.6,264.19,275.15,284.56,❌ Price < EMA10 < EMA20 < EMA40
PAYC,🔴 BEARISH (Below All EMAs),114.83,121.75,128.25,138.71,❌ Price < EMA10 < EMA20 < EMA40
CPB,🔴 BEARISH (Below All EMAs),26.83,27.68,27.76,27.83,❌ Price < EMA10 < EMA20 < EMA40
EPAM,🔴 BEARISH (Below All EMAs),130.93,158.37,174.16,186.04,❌ Price < EMA10 < EMA20 < EMA40
AXP,🔴 BEARISH (Below All EMAs),318.02,342.5,349.01,355.07,❌ Price < EMA10 < EMA20 < EMA40
NWS,🔴 BEARISH (Below All EMAs),25.89,26.58,27.46,28.41,❌ Price < EMA10 < EMA20 < EMA40
PLTR,🔴 BEARISH (Below All EMAs),130.03,135.62,142.68,153.52,❌ Price < EMA10 < EMA20 < EMA40
NFLX,🔴 BEARISH (Below All EMAs),75.88,78.28,80.54,85.16,❌ Price < EMA10 < EMA20 < EMA40
TECH,🔴 BEARISH (Below All EMAs),54.34,59.5,61.69,62.64,❌ Price < EMA10 < EMA20 < EMA40
BXP,🔴 BEARISH (Below All EMAs),59.78,61.64,62.84,64.58,❌ Price < EMA10 < EMA20 < EMA40
PSKY,🔴 BEARISH (Below All EMAs),10.47,10.75,11.01,11.72,❌ Price < EMA10 < EMA20 < EMA40
UBER,🔴 BEARISH (Below All EMAs),70.89,72.86,75.03,78.37,❌ Price < EMA10 < EMA20 < EMA40
CRL,🔴 BEARISH (Below All EMAs),160.27,169.2,180.54,189.21,❌ Price < EMA10 < EMA20 < EMA40
TRI,🔴 BEARISH (Below All EMAs),79.91,86.49,94.16,105.82,❌ Price < EMA10 < EMA20 < EMA40
AVGO,🔴 BEARISH (Below All EMAs),332.17,332.27,332.77,337.0,❌ Price < EMA10 < EMA20 < EMA40
QCOM,🔴 BEARISH (Below All EMAs),140.35,142.19,145.92,152.94,❌ Price < EMA10 < EMA20 < EMA40
V,🔴 BEARISH (Below All EMAs),310.14,320.12,324.02,328.88,❌ Price < EMA10 < EMA20 < EMA40
TTD,🔴 BEARISH (Below All EMAs),24.11,25.95,27.98,31.33,❌ Price < EMA10 < EMA20 < EMA40
GDDY,🔴 BEARISH (Below All EMAs),87.55,91.24,95.38,102.92,❌ Price < EMA10 < EMA20 < EMA40
META,🔴 BEARISH (Below All EMAs),642.42,652.46,657.14,658.17,❌ Price < EMA10 < EMA20 < EMA40
ALNY,🔴 BEARISH (Below All EMAs),330.11,331.45,338.53,357.41,❌ Price < EMA10 < EMA20 < EMA40
PGR,🔴 BEARISH (Below All EMAs),202.81,204.16,205.15,206.99,❌ Price < EMA10 < EMA20 < EMA40
MA,🔴 BEARISH (Below All EMAs),506.13,525.15,532.21,540.32,❌ Price < EMA10 < EMA20 < EMA40
COF,🔴 BEARISH (Below All EMAs),192.4,207.56,213.94,220.45,❌ Price < EMA10 < EMA20 < EMA40
TYL,🔴 BEARISH (Below All EMAs),317.46,325.45,347.99,382.04,❌ Price < EMA10 < EMA20 < EMA40
BKNG,🔴 BEARISH (Below All EMAs),3802.26,4170.21,4422.49,4705.69,❌ Price < EMA10 < EMA20 < EMA40
IVZ,🔴 BEARISH (Below All EMAs),24.93,26.25,26.59,26.63,❌ Price < EMA10 < EMA20 < EMA40
ACN,🔴 BEARISH (Below All EMAs),207.55,223.44,236.16,248.2,❌ Price < EMA10 < EMA20 < EMA40
AMZN,🔴 BEARISH (Below All EMAs),203.51,208.09,215.26,222.4,❌ Price < EMA10 < EMA20 < EMA40
MSTR,🔴 BEARISH (Below All EMAs),125.2,129.84,135.99,149.59,❌ Price < EMA10 < EMA20 < EMA40
SPGI,🔴 BEARISH (Below All EMAs),411.14,422.72,446.39,472.39,❌ Price < EMA10 < EMA20 < EMA40
APP,🔴 BEARISH (Below All EMAs),380.2,412.08,447.46,503.2,❌ Price < EMA10 < EMA20 < EMA40
FOX,🔴 BEARISH (Below All EMAs),50.92,53.59,56.64,59.27,❌ Price < EMA10 < EMA20 < EMA40
SOLV,🔴 BEARISH (Below All EMAs),72.12,74.89,76.37,77.69,❌ Price < EMA10 < EMA20 < EMA40
PANW,🔴 BEARISH (Below All EMAs),145.44,156.65,163.79,172.67,❌ Price < EMA10 < EMA20 < EMA40
ORCL,🔴 BEARISH (Below All EMAs),139.32,152.38,158.86,171.83,❌ Price < EMA10 < EMA20 < EMA40
JKHY,🔴 BEARISH (Below All EMAs),158.49,162.43,167.87,172.65,❌ Price < EMA10 < EMA20 < EMA40
BBY,🔴 BEARISH (Below All EMAs),61.68,65.4,66.25,67.68,❌ Price < EMA10 < EMA20 < EMA40
MSFT,🔴 BEARISH (Below All EMAs),386.39,400.73,414.15,434.69,❌ Price < EMA10 < EMA20 < EMA40
TSLA,🔴 BEARISH (Below All EMAs),398.05,412.09,418.28,426.47,❌ Price < EMA10 < EMA20 < EMA40
JPM,🔴 BEARISH (Below All EMAs),295.7,306.97,308.87,310.45,❌ Price < EMA10 < EMA20 < EMA40
CCEP,🟢 BULLISH (Above All EMAs),107.58,102.31,98.75,95.38,✅ Price > EMA10 > EMA20 > EMA40
IRM,🟢 BULLISH (Above All EMAs),110.31,105.44,100.84,96.22,✅ Price > EMA10 > EMA20 > EMA40
JBL,🟢 BULLISH (Above All EMAs),263.48,259.67,254.01,245.46,✅ Price > EMA10 > EMA20 > EMA40
VICI,🟢 BULLISH (Above All EMAs),30.12,29.58,29.17,28.86,✅ Price > EMA10 > EMA20 > EMA40
CBOE,🟢 BULLISH (Above All EMAs),292.5,282.32,277.0,270.42,✅ Price > EMA10 > EMA20 > EMA40
WRB,🟢 BULLISH (Above All EMAs),70.97,70.56,70.07,69.9,✅ Price > EMA10 > EMA20 > EMA40
CNP,🟢 BULLISH (Above All EMAs),42.42,41.82,40.97,40.07,✅ Price > EMA10 > EMA20 > EMA40
STZ,🟢 BULLISH (Above All EMAs),159.7,157.79,157.53,154.11,✅ Price > EMA10 > EMA20 > EMA40
FE,🟢 BULLISH (Above All EMAs),50.35,49.08,48.12,47.07,✅ Price > EMA10 > EMA20 > EMA40
TPL,🟢 BULLISH (Above All EMAs),517.29,448.43,410.32,373.17,✅ Price > EMA10 > EMA20 > EMA40
BIIB,🟢 BULLISH (Above All EMAs),194.62,192.2,188.43,183.13,✅ Price > EMA10 > EMA20 > EMA40
EXR,🟢 BULLISH (Above All EMAs),150.22,146.41,143.86,140.97,✅ Price > EMA10 > EMA20 > EMA40
TDY,🟢 BULLISH (Above All EMAs),663.93,656.55,639.57,609.42,✅ Price > EMA10 > EMA20 > EMA40
KHC,🟢 BULLISH (Above All EMAs),24.38,24.27,24.16,24.11,✅ Price > EMA10 > EMA20 > EMA40
AEE,🟢 BULLISH (Above All EMAs),111.1,108.77,106.93,104.91,✅ Price > EMA10 > EMA20 > EMA40
FER,🟢 BULLISH (Above All EMAs),72.2,72.12,71.03,69.32,✅ Price > EMA10 > EMA20 > EMA40
ES,🟢 BULLISH (Above All EMAs),74.38,72.15,70.95,69.91,✅ Price > EMA10 > EMA20 > EMA40
ATO,🟢 BULLISH (Above All EMAs),181.3,177.82,174.9,172.52,✅ Price > EMA10 > EMA20 > EMA40
DTE,🟢 BULLISH (Above All EMAs),145.37,142.45,139.75,137.04,✅ Price > EMA10 > EMA20 > EMA40
ASML,🟢 BULLISH (Above All EMAs),1469.79,1440.56,1408.71,1336.99,✅ Price > EMA10 > EMA20 > EMA40
HAL,🟢 BULLISH (Above All EMAs),34.99,34.63,34.08,32.75,✅ Price > EMA10 > EMA20 > EMA40
EG,🟢 BULLISH (Above All EMAs),339.88,338.62,335.02,331.96,✅ Price > EMA10 > EMA20 > EMA40
DXCM,🟢 BULLISH (Above All EMAs),74.03,71.56,71.01,70.05,✅ Price > EMA10 > EMA20 > EMA40
SNA,🟢 BULLISH (Above All EMAs),381.27,380.88,376.54,368.93,✅ Price > EMA10 > EMA20 > EMA40
VTRS,🟢 BULLISH (Above All EMAs),15.81,15.6,14.95,13.97,✅ Price > EMA10 > EMA20 > EMA40
BALL,🟢 BULLISH (Above All EMAs),66.44,65.87,63.75,60.21,✅ Price > EMA10 > EMA20 > EMA40
LNT,🟢 BULLISH (Above All EMAs),71.86,69.86,68.63,67.49,✅ Price > EMA10 > EMA20 > EMA40
AES,🟢 BULLISH (Above All EMAs),16.24,16.19,15.78,15.19,✅ Price > EMA10 > EMA20 > EMA40
PNW,🟢 BULLISH (Above All EMAs),99.14,97.39,95.64,93.38,✅ Price > EMA10 > EMA20 > EMA40
SJM,🟢 BULLISH (Above All EMAs),110.16,108.72,107.0,104.8,✅ Price > EMA10 > EMA20 > EMA40
HOLX,🟢 BULLISH (Above All EMAs),75.38,75.17,75.07,74.87,✅ Price > EMA10 > EMA20 > EMA40
EVRG,🟢 BULLISH (Above All EMAs),81.63,80.06,78.83,77.34,✅ Price > EMA10 > EMA20 > EMA40
HII,🟢 BULLISH (Above All EMAs),435.32,423.69,415.37,397.9,✅ Price > EMA10 > EMA20 > EMA40
MRNA,🟢 BULLISH (Above All EMAs),50.44,46.22,44.31,41.06,✅ Price > EMA10 > EMA20 > EMA40
KIM,🟢 BULLISH (Above All EMAs),23.41,22.62,22.08,21.51,✅ Price > EMA10 > EMA20 > EMA40
AVY,🟢 BULLISH (Above All EMAs),194.76,193.93,191.78,188.21,✅ Price > EMA10 > EMA20 > EMA40
CLX,🟢 BULLISH (Above All EMAs),125.1,122.52,119.17,114.49,✅ Price > EMA10 > EMA20 > EMA40
CF,🟢 BULLISH (Above All EMAs),95.82,95.48,93.4,89.87,✅ Price > EMA10 > EMA20 > EMA40
UHS,🟢 BULLISH (Above All EMAs),231.71,227.93,222.2,218.78,✅ Price > EMA10 > EMA20 > EMA40
HRL,🟢 BULLISH (Above All EMAs),25.09,24.49,24.38,24.15,✅ Price > EMA10 > EMA20 > EMA40
BF-B,🟢 BULLISH (Above All EMAs),29.91,29.57,29.04,28.49,✅ Price > EMA10 > EMA20 > EMA40
GNRC,🟢 BULLISH (Above All EMAs),223.43,215.99,200.88,184.74,✅ Price > EMA10 > EMA20 > EMA40
LYB,🟢 BULLISH (Above All EMAs),56.38,56.05,54.61,52.06,✅ Price > EMA10 > EMA20 > EMA40
ALB,🟢 BULLISH (Above All EMAs),175.26,169.74,169.14,162.9,✅ Price > EMA10 > EMA20 > EMA40
ZBH,🟢 BULLISH (Above All EMAs),98.5,96.09,93.61,92.21,✅ Price > EMA10 > EMA20 > EMA40
CHD,🟢 BULLISH (Above All EMAs),104.83,101.53,98.78,94.84,✅ Price > EMA10 > EMA20 > EMA40
BG,🟢 BULLISH (Above All EMAs),121.41,120.54,117.2,111.06,✅ Price > EMA10 > EMA20 > EMA40
LH,🟢 BULLISH (Above All EMAs),283.93,280.55,276.93,271.89,✅ Price > EMA10 > EMA20 > EMA40
FRT,🟢 BULLISH (Above All EMAs),107.29,105.92,104.73,103.05,✅ Price > EMA10 > EMA20 > EMA40
HSIC,🟢 BULLISH (Above All EMAs),79.85,78.54,78.07,77.16,✅ Price > EMA10 > EMA20 > EMA40
APA,🟢 BULLISH (Above All EMAs),28.47,28.09,27.4,26.51,✅ Price > EMA10 > EMA20 > EMA40
Q,🟢 BULLISH (Above All EMAs),110.5,109.97,105.74,99.95,✅ Price > EMA10 > EMA20 > EMA40
REG,🟢 BULLISH (Above All EMAs),77.2,76.06,74.82,73.1,✅ Price > EMA10 > EMA20 > EMA40
BAX,🟢 BULLISH (Above All EMAs),21.16,21.08,20.8,20.42,✅ Price > EMA10 > EMA20 > EMA40
AMCR,🟢 BULLISH (Above All EMAs),50.15,49.28,47.85,45.97,✅ Price > EMA10 > EMA20 > EMA40
CMS,🟢 BULLISH (Above All EMAs),76.23,74.89,73.62,72.47,✅ Price > EMA10 > EMA20 > EMA40
DVA,🟢 BULLISH (Above All EMAs),150.99,145.59,137.49,129.1,✅ Price > EMA10 > EMA20 > EMA40
NI,🟢 BULLISH (Above All EMAs),46.24,45.6,44.89,43.99,✅ Price > EMA10 > EMA20 > EMA40
SBAC,🟢 BULLISH (Above All EMAs),199.82,196.19,192.87,191.12,✅ Price > EMA10 > EMA20 > EMA40
IFF,🟢 BULLISH (Above All EMAs),81.03,79.97,77.32,73.97,✅ Price > EMA10 > EMA20 > EMA40
DD,🟢 BULLISH (Above All EMAs),49.6,49.54,48.03,45.74,✅ Price > EMA10 > EMA20 > EMA40
LII,🟢 BULLISH (Above All EMAs),550.66,549.83,538.85,526.19,✅ Price > EMA10 > EMA20 > EMA40
CNC,🟢 BULLISH (Above All EMAs),43.21,42.1,42.07,41.89,✅ Price > EMA10 > EMA20 > EMA40
DOC,🟢 BULLISH (Above All EMAs),17.26,16.98,16.94,16.92,✅ Price > EMA10 > EMA20 > EMA40
EIX,🟢 BULLISH (Above All EMAs),73.96,70.24,67.39,64.32,✅ Price > EMA10 > EMA20 > EMA40
DGX,🟢 BULLISH (Above All EMAs),205.79,202.05,197.14,191.31,✅ Price > EMA10 > EMA20 > EMA40
NVDA,🟢 BULLISH (Above All EMAs),190.97,187.6,186.61,185.89,✅ Price > EMA10 > EMA20 > EMA40
DG,🟢 BULLISH (Above All EMAs),152.6,150.28,148.43,143.53,✅ Price > EMA10 > EMA20 > EMA40
SYK,🟢 BULLISH (Above All EMAs),382.14,371.96,367.43,364.22,✅ Price > EMA10 > EMA20 > EMA40
COP,🟢 BULLISH (Above All EMAs),109.79,109.04,106.38,102.3,✅ Price > EMA10 > EMA20 > EMA40
NEM,🟢 BULLISH (Above All EMAs),123.65,122.4,120.36,115.28,✅ Price > EMA10 > EMA20 > EMA40
CB,🟢 BULLISH (Above All EMAs),331.58,328.37,323.32,316.33,✅ Price > EMA10 > EMA20 > EMA40
PLD,🟢 BULLISH (Above All EMAs),140.13,138.91,136.55,133.44,✅ Price > EMA10 > EMA20 > EMA40
PH,🟢 BULLISH (Above All EMAs),1008.45,998.67,979.64,948.95,✅ Price > EMA10 > EMA20 > EMA40
BMY,🟢 BULLISH (Above All EMAs),60.94,60.05,58.87,56.8,✅ Price > EMA10 > EMA20 > EMA40
HCA,🟢 BULLISH (Above All EMAs),539.88,527.16,514.71,500.33,✅ Price > EMA10 > EMA20 > EMA40
VRTX,🟢 BULLISH (Above All EMAs),485.0,474.71,471.19,464.62,✅ Price > EMA10 > EMA20 > EMA40
CMCSA,🟢 BULLISH (Above All EMAs),31.53,31.38,30.78,29.71,✅ Price > EMA10 > EMA20 > EMA40
GLW,🟢 BULLISH (Above All EMAs),146.16,132.18,122.94,111.48,✅ Price > EMA10 > EMA20 > EMA40
MCK,🟢 BULLISH (Above All EMAs),958.01,935.53,910.4,879.84,✅ Price > EMA10 > EMA20 > EMA40
